PHASE	TESS
TESS	null
OF	null
THE	null
DURBERVILLES	null
I	I
am	am
extremely	extremely
interested	interested
in	in
this	this
newsyou	newsyou
can	can
have	have
no	no
idea	idea
how	how
interested	interested
I	I
am	am
Are	Are
not	you
you	not
interested	interested
yourself	yourself
in	in
being	being
one	one
of	of
that	that
wellknown	wellknown
line’	line
‘No	No
I	I
have	have
thought	thought
it	it
sad—especially	sadespecially
since	since
coming	coming
here	here
and	and
knowing	knowing
that	that
many	many
of	of
the	the
hills	hills
and	and
ﬁelds	fields
I	I
see	see
once	once
belonged	belonged
to	to
my	my
fathers	fathers
people	people
But	But
other	other
hills	hills
and	and
ﬁelds	field
belonged	belonged
to	to
Rettys	Rettys
people	people
and	and
perhaps	perhaps
others	others
to	to
Marian’s	Marians
so	so
that	that
I	I
don’t	dont
value	value
it	it
particularly’	particularly
‘Yes—it	Yesit
is	is
surprising	surprising
how	how
many	many
of	of
the	the
present	present
tillers	tillers
of	of
the	the
soil	soil
were	were
once	once
owners	owners
of	of
it	it
and	and
I	I
sometimes	sometimes
wonder	wonder
that	that
a	a
certain	certain
school	school
of	of
politicians	politicians
dont	dont
make	make
capital	capital
of	of
the	the
circumstance	circumstance
but	but
they	they
dont	dont
seem	seem
to	to
know	know
it	it
I	I
wonder	wonder
that	that
I	I
did	did
not	not
see	see
the	the
resemblance	resemblance
of	of
your	your
name	name
to	to
d’Urberville	dUrberville
and	and
trace	trace
the	the
manifest	manifest
corruption	corruption
And	And
this	this
was	was
the	the
carldng	carking
secret‘	secret
She	She
had	had
not	not
told	told
At	At
the	the
last	last
moment	moment
her	her
courage	courage
had	had
failed	failed
her	her
she	she
feared	feared
his	his
blame	blame
for	for
not	not
telling	telling
him	him
sooner	sooner
and	and
her	her
instinct	instinct
of	of
selfpreservation	selfpreservation
was	was
stronger	stronger
than	than
her	her
candour	candour
Of	Of
course’	course
continued	continued
the	the
unwitting	unwitting
Clare	Clare
‘1	I
should	should
have	have
been	been
glad	glad
to	to
know	know
you	you
to	to
be	be
descended	descended
exclusively	exclusively
from	from
the	the
longsuﬁering	longsuffering
dumb	dumb
unrecorded	unrecorded
rank	rank
and	and
ﬁle	file
of	of
the	the
English	English
nation	nation
and	and
not	not
from	from
the	the
selfseeking	selfseeking
few	few
who	who
made	made
themselves	themselves
powerful	powerful
at	at
the	the
expense	expense
of	of
the	the
rest	rest
But	But
I	I
am	am
corrupted	corrupted
away	away
from	from
that	that
by	by
my	my
affection	affection
foi	for
you	you
Tess	Tess
he	he
laughed	laughed
as	as
he	he
spoke	spoke
and	and
made	made
selﬁsh	selfish
likewise	likewise
For	For
your	your
own	own
sake	sake
I	I
rejoice	rejoice
in	in
your	your
descent	descent
Society	Society
is	is
hopelessly	hopelessly
snobbishandthisfactofyourextraetionmaymakean	snobbish
null	and
null	this
null	fact
null	of
null	your
null	extraction
null	may
null	make
null	an
appreciable	appreciable
difference	difference
to	to
its	its
acceptance	acceptance
of	of
you	you
as	as
my	my
wife	wife
after	after
I	I
have	have
made	made
you	you
the	the
wellread	wellread
woman	woman
that	that
I	I
mean	mean
to	to
make	make
you	you
My	My
mother	mother
too	too
poorsoul	poor
willthinksomuchbetterofyouonaecountofit	soul
null	will
null	think
null	so
null	much
null	better
null	of
null	you
null	on
null	account
null	of
null	it
Tess	Tess
you	you
must	must
spell	spell
you	your
name	name
correctly—dUtberville—from	correctlydUrbervillefrom
this	this
very	very
day’	day
‘I	I
like	like
the	the
other	other
way	way
rather	rather
best’	best
‘But	But
you	you
must	MUST
dearest	dearest
Good	Good
heavens	heavens
why	why
dams	dozens
242	null
THE	null
CONSEQUEN	null
CE	null
of	of
mushroom	mushroom
null	millionaires
would	would
jump	jump
at	at
such	such
a	a
possession	possession
By	By
the	the
bye	bye
theres	theres
one	one
of	of
that	that
kidney	kidney
who	who
has	has
taken	taken
the	the
name—where	namewhere
have	have
I	I
heard	heard
of	of
him—	himUp
Up	null
in	in
the	the
neighbourhood	neighbourhood
of	of
The	The
Chase	Chase
I	I
think	think
Why	Why
he	he
is	is
the	the
very	very
man	man
who	who
had	had
that	that
rumpus	rumpus
with	with
my	my
father	father
I	I
told	told
you	you
of	of
What	What
an	an
odd	odd
00incidence’	coincidence
‘Angel	Angel
I	I
think	think
I	I
would	would
rather	rather
not	not
take	take
the	the
name	name
It	It
is	is
unlucky	unlucky
perhaps’	perhaps
She	She
was	was
agitated	agitated
‘Now	Now
then	then
Mistress	Mistress
Teresa	Teresa
d’Urberville	dUrberville
I	I
have	have
you	you
Take	Take
my	my
name	name
and	and
so	so
you	you
will	will
escape	escape
yours	yours
The	The
secret	secret
is	is
out	out
so	so
why	why
should	should
you	you
any	any
longer	longer
refuse	refuse
me	me
’	If
‘If	null
it	it
is	is
sure	SURE
to	to
make	make
you	you
happy	happy
to	to
have	have
me	me
as	as
your	your
wife	wife
and	and
you	you
feel	feel
that	that
you	you
do	do
wish	wish
to	to
marry	marry
me	me
very	VERY
very	VERY
much—’	much
‘I	I
do	do
dearest	dearest
of	of
course’	course
‘I	I
mean	mean
that	that
it	it
is	is
only	only
your	your
wanting	wanting
me	me
very	very
much	much
and	and
being	being
hardly	hardly
able	able
to	to
keep	keep
alive	alive
without	without
me	me
whatever	whatever
my	my
oﬁences	offences
that	that
would	would
make	make
me	me
feel	feel
I	I
ought	ought
to	to
say	say
I	I
will’	will
‘You	You
will—you	willyou
do	do
say	say
it	it
I	I
know	know
You	You
will	will
be	be
mine	mine
for	for
ever	ever
and	and
ever’	ever
’	He
1	null
clasped	clasped
her	her
close	close
and	and
lnssed	kissed
her	her
6	Yes
es	null
She	She
had	had
no	no
sooner	sooner
said	said
it	it
than	than
she	she
burst	burst
into	into
a	a
dry	dry
hard	hard
sobbing	sobbing
so	so
violent	violent
that	that
it	it
seemed	seemed
to	to
rend	rend
her	her
Tex	Tess
was	was
not	not
a	a
hysterical	hysterical
girl	girl
by	by
any	any
means	means
and	and
he	he
was	was
surprised	surprised
‘Why	Why
do	do
you	you
cry	cry
dearest’	dearest
‘I	I
can’t	cant
tell—quitel—I	tellquiteI
am	am
so	so
glad	glad
to	to
think—of	thinkof
being	being
yours	yours
and	and
making	making
you	you
happy’	happy
‘But	But
this	this
does	does
not	not
seem	seem
very	very
much	much
like	like
gladness	gladness
my	my
Tessy’	Tessy
‘I	I
mean—I	meanI
cry	cry
because	because
I	I
have	have
broken	broken
down	down
in	in
my	my
vow	vow
I	I
said	said
I	I
would	would
die	die
unmarried’	unmarried
‘But	But
if	if
you	you
love	love
me	me
you	you
would	would
like	like
me	me
to	to
be	be
your	your
husband’	husband
’43	Yes
TESS	null
OF	null
THE	null
DURBERVILLES	null
‘Yes	null
yes	yes
yes	yes
But	But
0	O
I	I
sometimes	sometimes
wish	wish
I	I
had	had
never	never
been	been
born’	born
‘Now	Now
my	my
dear	dear
Tess	Tess
if	if
I	I
did	did
not	not
know	know
that	that
you	you
are	are
very	very
much	much
excited	excited
and	and
very	very
inexperienced	inexperienced
I	I
should	should
say	say
that	that
remark	remark
was	was
not	not
very	very
complimentary	complimentary
How	How
came	came
you	you
to	to
wish	wish
that	that
if	if
you	you
care	care
for	for
me	me
Do	Do
you	you
care	care
for	for
me	me
I	I
wish	wish
you	you
would	would
prove	prove
it	it
in	in
some	some
way’	way
‘How	How
can	can
I	I
prove	prove
it	it
more	more
than	than
I	I
have	have
done’	done
she	she
cried	cried
in	in
a	a
distraction	distraction
of	of
tenderness	tenderness
‘Will	Will
this	this
prove	prove
it	it
more’	more
She	She
clasped	clasped
his	his
neck	neck
and	and
for	for
the	the
ﬁrst	first
time	time
Clare	Clare
learnt	learnt
what	what
an	an
impassioned	impassioned
woman’s	womans
kisses	kisses
were	were
like	like
upon	upon
the	the
lips	lips
of	of
one	one
whom	whom
she	she
loved	loved
with	with
all	all
her	her
heart	heart
and	and
soul	soul
as	as
Tess	Tess
‘loved	loved
him	him
‘There——now	Therenow
do	do
you	you
believe’	believe
she	she
asked	asked
ﬂushed	flushed
and	and
wiping	wiping
her	her
eyes	eyes
‘Yes	Yes
I	I
never	never
really	really
doubted—never	doubtednever
nevetl	never
So	So
they	they
drove	drove
on	on
through	through
the	the
gloom	gloom
forming	forming
one	one
bundle	bundle
inside	inside
the	the
sailcloth	sailcloth
the	the
horse	horse
going	going
as	as
he	he
would	would
and	and
the	the
rain	rain
driving	driving
against	against
them	them
She	She
had	had
consented	consented
She	She
might	might
as	as
well	well
have	have
agreed	agreed
at	at
ﬁrst	first
The	The
‘appetite	appetite
for	for
joy’	joy
which	which
pervades	pervades
all	all
creation	creation
that	that
tremendous	tremendous
force	force
which	which
sways	sways
humanity	humanity
to	to
its	its
purpose	purpose
as	as
the	the
tide	tide
sways	sways
the	the
helpless	helpless
weed	weed
was	was
not	not
tolhe	to
null	be
controlled	controlled
by	by
vague	vague
lucubrations	lucubrations
over	over
the	the
social‘	social
ru	rubric
me	I
‘I	null
must	must
write	write
to	to
my	my
mother’	mother
she	she
said	said
‘You	You
dont	dont
mind	mind
my	my
doing	doing
that’	that
‘Oi	Of
course	course
not	not
dear	dear
child	child
You	You
are	are
a	a
child	child
to	to
me	me
Tess	Tess
not	not
to	to
know	know
how	how
very	very
proper	proper
it	it
is	is
to	to
write	write
to	to
your	your
mother	mother
at	at
such	such
a	a
time	time
and	and
how	how
wrong	wrong
it	it
would	would
be	be
in	in
me	me
to	to
object	object
Where	Where
does	does
she	she
live’	live
‘At	At
the	the
same	same
place—Marlott	placeMarlott
0n	On
the	the
further	further
side	side
of	of
Blackmoor	Blackmoor
Vale’	Vale
‘Ah	Ah
then	then
I	I
have	HAVE
seen	seen
you	you
before	before
this	this
summer——’	summer
Yes	Yes
at	at
that	that
dance	dance
on	on
the	the
green	green
but	but
you	you
would	would
not	not
dance	dance
with	with
me	me
O	O
I	I
hope	hope
that	that
is	is
of	of
no	no
ill—omen	illomen
for	for
us	us
now	now
244	null
XXXI	XXXI
TESS	Tess
wrote	wrote
a	a
most	most
touching	touching
and	and
urgent	urgent
letter	letter
to	to
her	her
mother	mother
the	the
very	very
next	next
day	day
and	and
by	by
the	the
end	end
of	of
the	the
week	week
a	a
response	response
to	to
her	her
communication	communication
arrived	arrived
in	in
Joan	Joan
Durbeyﬁeld’s	Durbeyfields
wandering	wandering
lastcentury	lastcentury
hand	hand
anTzss—J	DEAR
null	TESS
null	J
write	write
these	these
few	few
lines	lines
H	Hoping
theywill	they
ﬁnd	will
null	find
you	you
wdlsstheyleaverneatPresentﬂmnkGod	well
null	as
null	they
null	leave
null	me
null	at
null	Present
null	thank
null	God
null	for
it	it
Denrl‘essweare	Dear
nllgladtolIearthatymmgoingreaﬂyfobemnniedsoon	Tess
null	we
null	are
null	all
null	glad
null	to
null	Hear
null	that
null	you
null	are
null	going
null	really
null	to
null	be
null	married
null	soon
But	But
with	with
respect	respect
to	to
your	your
question	question
Tes	Tess
I	J
say	say
betwem	between
ourselvu	ourselves
quite	quite
tebutverystrongthatounosmutdoymsayawordofymr	private
ygone	but
null	very
null	strong
null	that
null	on
null	no
null	account
null	do
null	you
null	say
null	a
null	word
null	of
null	your
null	Bygone
Trouble	Trouble
to	to
him	him
Jdid	J
null	did
not	not
tell	tell
everything	everything
to	to
your	your
Father	Father
he	he
being	being
so	so
Proud	Proud
on	on
aeomxnt	account
of	of
his	his
Repeatability	Respectability
which	which
I	perhaps
your	your
Intendedisthe	Intended
null	is
null	the
same	same
Manyawomnn—eomeofthe	Many
tmthe	a
Land—have	womansome
null	of
null	the
null	Highest
null	in
null	the
null	Landhave
had	had
In	a
Trouble	Trouble
in	in
their	their
time	time
and	and
why	why
should	should
you	you
Trumpet	Trumpet
ywmwhmathersdont	yours
null	when
null	others
null	dont
Trumpet	Trumpet
theirs	theirs
No	No
girl	girl
wouldbemch	would
aFool	be
yasitisso	such
sgoandnotyourFoultntull	a
Jshsllantwer	Fool
emmeifyouaskme	specially
null	as
null	it
null	is
null	so
null	long
null	ago
null	and
null	not
null	your
null	Fault
null	at
null	all
null	J
null	shall
null	answer
null	the
null	same
null	if
null	you
null	ask
null	me
null	fifty
times	times
Besides	Besides
mostbearinmind	you
null	must
null	bear
null	in
null	mind
that	that
ha	knowing
‘	it
ittobeyourChildish	to
Naturetote	be
null	your
null	Childish
null	Nature
null	to
null	tell
all	all
that’sin	thats
ourheart—	in
Ionimp	your
l—Jmndeyoupromisemenevertoletitmtby	heartso
ordorDeed	simpleJ
null	made
null	you
null	promise
null	me
null	never
null	to
null	let
null	it
null	out
null	by
null	Word
null	or
null	Deed
having	having
your	your
Welfare	Welfare
in	in
in	my
Mind	Mind
and	and
you	you
most	most
solemnly	solemnly
did	did
promise	promise
itgoing	it
null	going
from	from
this	this
Door	Door
null	J
have	have
notnnmed	not
null	named
either	either
that	that
Questionoryour	Question
null	or
null	your
coming	coming
marriage	marriage
to	to
your	your
Father	Father
as	as
he	he
would	would
blah	blab
it	it
everywhere	everywhere
poor	poor
Simple	Simple
¥am	Man
Sp	Dear
and	Tess
d	keep
H	up
Dear	your
esskeepupyour	Spirits
irits	and
wemeantosen	we
null	mean
null	to
null	send
you	you
We	a
head	Hogshead
of	of
Cyder	Cyder
for	for
your	you
Wedding	Wedding
knowing	knowing
thae	there
is	is
not	not
much	much
in	in
your	your
partsandthinSourStuﬁwhntthereis	parts
Sonomoreatpresmtnnd	and
null	thin
null	Sour
null	Stuff
null	what
null	there
null	is
null	So
null	no
null	more
null	at
null	present
null	and
with	with
kind	kind
love	love
to	to
your	your
Young	Young
Mam—From	ManFrom
your	your
nﬁectte	affectte
Mother	Mother
1	J
Datum	DURBEYFIELD
‘0	O
mother	mother
mother‘	mother
murmured	murmured
Tess	Tess
She	She
was	was
recognizing	recognizing
how	how
light	light
was	was
the	the
touch	touch
0	of
events	events
the	the
most	most
oppressive	oppressive
upon	upon
Mrs	Mrs
Durbeyﬁeld’s	Durbeyfields
elastic	elastic
spirit	spirit
Her	Her
mother	mother
did	did
not	not
see	see
life	life
as	as
Tess	Tess
saw	saw
it	it
That	That
haunting	haunting
episode	episode
of‘bygone	of
null	bygone
days	days
was	was
to	to
her	her
mother	mother
but	but
a	a
passing	passing
accident	accident
But	But
perhaps	perhaps
her	her
mother	mother
was	was
right	right
as	as
to	to
the	the
course	course
to	to
be	be
followed	followed
245	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
whatever	whatever
she	she
might	might
be	be
in	in
her	her
reasons	reasons
Silence	Silence
seemed	seemed
on	on
the	the
face	face
of	of
it	it
best	best
for	for
her	her
adored	adored
one’s	ones
happiness	happiness
silence	silence
it	it
should	should
be	be
Thus	Thus
steadied	steadied
by	by
a	a
command	command
from	from
the	the
only	only
person	person
in	in
the	the
world	world
who	who
had	had
any	any
shadow	shadow
of	of
right	right
to	to
control	control
her	her
action	action
Tess	Tess
grew	grew
calmer	calmer
The	The
responsibility	responsibility
was	was
shifted	shifted
and	and
her	her
heart	heart
was	was
lighter	lighter
than	than
it	it
had	had
been	been
for	for
weeks	weeks
The	The
days	days
of	of
declining	declining
autumn	autumn
which	which
followed	followed
her	her
assent	assent
beginning	beginning
with	with
the	the
month	month
of	of
October	October
formed	formed
a	a
season	season
through	through
which	which
she	she
lived	lived
in	in
spiritual	spiritual
altitudes	altitudes
more	more
nearly	nearly
approaching	approaching
ecstasy	ecstasy
than	than
any	any
other	other
period	period
of	of
her	her
life	life
Therewashardlyatouchofearthinherlovefor	There
null	was
null	hardly
null	a
null	touch
null	of
null	earth
null	in
null	her
null	love
null	for
Clare	Clare
To	To
her	her
sublime	sublime
trustfulness	trustfulness
he	he
was	was
all	all
that	that
goodness	goodness
could	could
be——knew	beknew
all	all
that	that
a	a
guide	guide
philosopher	philosopher
and	and
friend	friend
should	should
know	know
She	She
thought	thought
every	every
line	line
in	in
the	the
contour	contour
of	of
his	his
person	person
the	the
perfection	perfection
of	of
masculine	masculine
beauty	beauty
his	his
soul	soul
the	the
soul	soul
of	of
a	a
saint	saint
his	his
intellect	intellect
that	that
of	of
a	a
seer	seer
The	The
wisdom	wisdom
of	of
her	her
love	love
for	for
him	him
as	as
love	love
sustained	sustained
her	her
dignity	dignity
she	she
seemed	seemed
to	to
be	be
wearing	wearing
a	a
crown	crown
The	The
compassion	compassion
of	of
his	his
love	love
for	for
her	her
as	as
she	she
saw	saw
it	it
made	made
her	her
lift	lift
up	up
her	her
heart	heart
to	to
him	him
in	in
devotion	devotion
He	He
would	would
sometimes	sometimes
catch	catch
her	her
large	large
worshipful	worshipful
eyes	eyes
that	that
had	had
no	no
bottom	bottom
to	to
them	them
looking	looking
at	at
him	him
from	from
their	their
depths	depths
as	as
if	if
she	she
saw	saw
something	something
immortal	immortal
before	before
her	her
She	She
dismissed	dismissed
the	the
past—trod	pasttrod
upon	upon
it	it
and	and
put	put
it	it
out	out
as	as
one	one
treads	treads
on	on
a	a
coal	coal
that	that
is	is
smouldering	smouldering
and	and
dangerous	dangerous
She	She
had	had
not	not
known	known
that	that
men	men
could	could
be	be
so	so
disinterested	disinterested
chivalrous	chivalrous
protective	protective
in	in
their	their
love	love
for	for
women	women
as	as
he	he
Angel	Angel
Clare	Clare
was	was
far	far
from	from
all	all
that	that
she	she
thought	thought
him	him
in	in
this	this
respect	respect
absurdly	absurdly
far	far
indeed	indeed
but	but
he	he
was	was
in	in
truth	truth
more	more
spiritual	spiritual
than	than
animal	animal
he	he
had	had
himself	himself
well	well
in	in
hand	hand
and	and
was	was
singularly	singularly
free	free
from	from
grossness	grossness
Though	Though
not	not
coldnatured	coldnatured
he	he
was	was
rather	rather
bright	bright
than	than
hotaless	hotless
Byronic	Byronic
than	than
Shelleyan	Shelleyan
could	could
love	love
desperately	desperately
but	but
with	with
a	a
love	love
more	more
especially	especially
inclined	inclined
to	to
the	the
imaginative	imaginative
and	and
ethereal	ethereal
it	it
was	was
a	a
fastid	fastidious
ious	null
emotion	emotion
which	which
could	could
jealously	jealously
guard	guard
the	the
loved	loved
246	null
THE	null
OONSEQUENCE	null
one	one
against	against
his	his
very	very
self	self
This	This
amazed	amazed
and	and
enraptured	enraptured
Tess	Tess
whose	whose
slight	slight
experiences	experiences
had	had
been	been
so	so
infelicitous	infelicitous
till	till
now	now
and	and
in	in
her	her
reaction	reaction
from	from
indignation	indignation
against	against
the	the
male	male
sex	sex
she	she
swerved	swerved
to	to
excess	excess
of	of
honour	honour
for	for
Clare	Clare
They	They
unaﬂectedly	unaffectedly
sought	sought
each	each
other’s	others
company	company
in	in
her	her
honest	honest
faith	faith
she	she
did	did
not	not
disguise	disguise
her	her
desire	desire
to	to
be	be
with	with
him	him
The	The
sum	sum
of	of
her	her
instincts	instincts
on	on
this	this
matter	matter
if	if
clearly	clearly
stated	stated
would	would
have	have
been	been
that	that
the	the
elusive	elusive
quality	quality
in	of
her	her
sex	sex
which	which
attracts	attracts
men	men
in	in
general	general
might	might
bedistastefultosoperfectamanafteranavowal	be
null	distasteful
null	to
null	so
null	perfect
null	a
null	man
null	after
null	an
null	avowal
of	of
love	love
since	since
it	it
must	must
in	in
its	its
very	very
nature	nature
carry	carry
with	with
it	it
a	a
suspicion	suspicion
of	of
art	art
The	The
country	country
custom	custom
of	of
unreserved	unreserved
comradeship	comradeship
outofdoors	out
null	of
null	doors
during	during
betrothal	betrothal
was	was
the	the
only	only
custom	custom
she	she
knew	knew
and	and
to	to
her	her
it	it
had	had
no	no
strangeness	strangeness
though	though
it	it
seemed	seemed
oddly	oddly
anticipative	anticipative
to	to
Clare	Clare
till	till
he	he
saw	saw
how	how
normal	normal
a	a
thing	thing
she	she
in	in
common	common
with	with
all	all
the	the
other	other
dairyfolk	dairyfolk
regarded	regarded
it	it
Thus	Thus
during	during
this	this
October	October
month	month
of	of
wonderful	wonderful
afternoons	afternoons
they	they
roved	roved
along	along
the	the
meads	meads
by	by
creeping	creeping
paths	paths
which	which
followed	followed
the	the
brinks	brinks
of	of
trickling	trickling
tributary	tributary
brooks	brooks
hopping	hopping
across	across
by	by
little	little
wooden	wooden
bridges	bridges
to	to
the	the
other	other
side	side
and	and
back	back
again	again
They	They
were	were
never	never
out	out
of	of
the	the
sound	sound
of	of
some	some
purling	purling
weir	weir
whose	whose
buzz	buzz
accompanied	accompanied
their	their
own	own
murmuring	murmuring
while	while
the	the
beams	beams
of	of
the	the
sun	sun
almost	almost
as	as
horizontal	horizontal
as	as
the	the
mead	mead
itself	itself
formed	formed
a	a
pollen	pollen
of	of
radiance	radiance
over	over
the	the
landscape	landscape
They	They
saw	saw
tiny	tiny
blue	blue
fogs	fogs
in	in
the	the
shadows	shadows
of	of
trees	trees
and	and
hedges	hedges
all	all
the	the
time	time
that	that
there	there
was	was
bright	bright
sunshine	sunshine
elsewhere	elsewhere
The	The
sun	sun
was	was
so	so
near	near
the	the
ground	ground
and	and
the	the
swand	sward
so	so
ﬂat	flat
that	that
the	the
shadows	shadows
of	of
Clare	Clare
and	and
Tess	Tess
would	would
stretch	stretch
a	a
quarter	quarter
of	of
a	a
mile	mile
ahead	ahead
of	of
them	them
like	like
two	two
long	long
ﬁngers	fingers
pointing	pointing
afar	afar
to	to
when	where
the	the
green	green
alluvial	alluvial
reaches	reaches
abutted	abutted
against	against
the	the
sloping	sloping
sides	sides
of	of
the	the
vale	vale
Men	Men
were	were
at	at
work	work
here	here
and	and
there—for	therefor
it	it
was	was
the	the
season	season
for	for
‘taking	taking
up	up
the	the
meadows	meadows
or	or
digging	digging
the	the
little	little
waterways	waterways
clear	clear
for	for
the	the
winter	winter
irrigation	irrigation
and	and
mending	mending
their	their
banks	banks
where	where
trodden	trodden
down	down
by	by
the	the
247	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
cows	cows
The	The
shovelfuls	shovelfuls
of	of
loam	loam
black	black
as	as
jet	jet
brought	brought
there	there
by	by
the	the
river	river
when	when
it	it
was	was
as	as
wide	wide
as	as
the	the
whole	whole
valley	valley
were	were
an	an
essence	essence
of	of
soils	soils
pounded	pounded
champaigns	champaigns
of	of
the	the
past	past
steeped	steeped
reﬁned	refined
and	and
subtilized	subtilized
to	to
extraor—	extraordinary
dinary	null
richness	richness
out	out
of	of
which	which
came	came
all	all
the	the
fertility	fertility
of	of
the	the
mead	mead
and	and
of	of
the	the
cattle	cattle
grazing	grazing
there	there
Clare	Clare
hardin	hardily
kept	kept
his	his
arm	arm
round	round
her	her
waist	waist
in	in
sight	sight
of	of
these	these
watermen	watermen
with	with
the	the
air	air
of	of
a	a
man	man
who	who
was	was
accustomed	accustomed
to	to
public	public
dalliance	dalliance
though	though
actually	actually
as	as
shy	shy
as	as
she	she
who	who
with	with
lips	lips
parted	parted
and	and
eyes	eyes
askance	askance
on	on
thﬁa11	the
labourers	labourers
wore	wore
the	the
look	look
of	of
a	a
wary	wary
ammal’	animal
the	the
w	while
e	You
‘You	null
are	are
not	not
ashamed	ashamed
of	of
owning	owning
me	me
as	as
yours	yours
before	before
them’	them
she	she
said	said
gladly	gladly
‘0	O
no’	no
‘But	But
if	if
it	it
should	should
reach	reach
the	the
cars	ears
of	of
your	your
friends	friends
at	at
Emmins’oer	Emminster
that	that
you	you
are	are
walldng	walking
about	about
like	like
this	this
with	with
me	me
a	a
milkmaid—’	milkmaid
‘The	The
most	most
bewitching	bewitching
milkrnaid	milkmaid
ever	ever
seen’	seen
‘They	They
might	might
feel	feel
it	it
a	a
hurt	hurt
to	to
their	their
dignity’	dignity
‘My	My
dear	dear
girla	girla
d’Urberville	dUrberville
hurt	hurt
the	the
dignity	dignity
of	of
a	a
Clare	Clare
It	It
is	is
a	a
grand	grand
card	card
to	to
play—that	playthat
of	of
your	your
belonging	belonging
to	to
such	such
a	a
family	family
and	and
I	I
am	am
reserving	reserving
it	it
for	for
a	a
grand	grand
effect	effect
when	when
we	we
are	are
married	married
and	and
have	have
the	the
proofs	proofs
of	of
your	your
descent	descent
from	from
Parson	Parson
Tringham	Tringham
Apart	Apart
from	from
that	that
my	my
future	future
is	is
to	to
be	be
totally	totally
foreign	foreign
to	to
my	my
family—it	familyit
will	will
not	not
effect	affect
even	even
the	the
surface	surface
of	of
their	their
lives	lives
We	We
shall	shall
leave	leave
this	this
part	part
of	of
England—perhaps	Englandperhaps
England	England
itself—and	itselfand
what	what
does	does
it	it
matter	matter
how	how
peo	people
ple	null
regard	regard
us	us
here	here
You	You
will	will
like	like
going	going
will	will
you	you
not	not
’	null
She	She
could	could
answer	answer
no	no
more	more
than	than
a	a
bare	bare
afﬁrmative	affirmative
so	so
great	great
was	was
the	the
emotion	emotion
aroused	aroused
in	in
her	her
at	at
the	the
thought	thought
of	of
going	going
through	through
the	the
world	world
with	with
him	him
as	as
his	his
own	own
familiar	familiar
friend	friend
Her	Her
feelings	feelings
almost	almost
ﬁlled	filled
her	her
ears	ears
like	like
a	a
babble	babble
of	of
waves	waves
and	and
surged	surged
up	up
to	to
her	her
eyes	eyes
She	She
put	put
her	her
hand	hand
in	in
his	his
and	and
thus	thus
they	they
went	went
on	on
to	to
a	a
place	place
where	where
the	the
reﬂected	reflected
sun	sun
glared	glared
up	up
from	from
the	the
river	river
under	under
a	a
bridge	bridge
with	with
a	a
moltenmetach	moltenmetallic
glow	glow
that	that
248	null
THE	null
CON	null
SEQUENCE	null
dazzled	dazzled
their	their
eyes	eyes
though	though
the	the
sun	sun
itself	itself
was	was
hidden	hidden
by	by
the	the
bridge	bridge
They	They
stood	stood
still	still
whereupon	whereupon
little	little
furred	furred
and	and
feathered	feathered
heads	heads
popped	popped
up	up
from	from
the	the
smooth	smooth
surface	surface
of	of
the	the
water	water
but	but
ﬁnding	finding
that	that
the	the
disturbing	disturbing
presences	presences
had	had
paused	paused
and	and
not	not
passed	passed
by	by
they	they
disappeared	disappeared
again	again
Upon	Upon
this	this
riverbrink	riverbrink
they	they
ﬁngered	lingered
till	till
the	the
fog	fog
began	began
to	to
close	close
round	round
them—which	themwhich
was	was
very	very
early	early
in	in
the	the
evening	evening
at	at
this	this
time	time
of	of
the	the
year	yearsettling
——settling	null
on	on
the	the
lashes	lashes
of	of
her	her
eyes	eyes
where	where
it	it
rested	rested
like	like
crystals	crystals
and	and
on	on
his	his
brows	brows
and	and
hair	hair
They	They
walked	walked
later	later
on	on
Sundays	Sundays
when	when
it	it
was	was
quite	quite
dark	dark
Some	Some
of	of
the	the
dairypeople	dairypeople
who	who
were	were
also	also
outofdoors	out
null	of
null	doors
on	on
the	the
ﬁrst	first
Sunday	Sunday
evening	evening
after	after
their	their
engagement	engagement
heard	heard
her	her
impulsive	impulsive
speeches	speeches
ecstasized	ecstasized
to	to
fragments	fragments
though	though
they	they
were	were
too	too
far	far
03	off
to	to
hear	hear
the	the
words	words
discoursed	discoursed
noted	noted
the	the
spasmodic	spasmodic
catch	catch
in	in
her	her
remarks	remarks
broken	broken
into	into
syllables	syllables
by	by
the	the
leapings	leapings
of	of
her	her
heart	heart
as	as
she	she
walked	walked
leaning	leaning
on	on
his	his
arm	arm
her	her
contented	contented
pauses	pauses
the	the
occasional	occasional
little	little
laugh	laugh
upon	upon
which	which
her	her
soul	soul
seemed	seemed
to	to
ride—the	ridethe
laugh	laugh
of	of
a	a
woman	woman
in	in
company	company
with	with
the	the
man	man
she	she
loves	loves
and	and
has	has
won	won
from	from
all	all
other	other
women—unlike	womenunlike
anything	anything
else	else
in	in
nature	nature
They	They
marked	marked
the	the
buoyancy	buoyancy
of	of
her	her
tread	tread
like	like
the	the
skim	skim
of	of
a	a
bird	bird
which	which
has	has
not	not
quite	quite
alighted	alighted
Her	Her
affection	affection
for	for
him	him
was	was
now	now
the	the
breath	breath
and	and
life	life
of	of
Tess’s	Tesss
being	being
it	it
enveloped	enveloped
her	her
as	as
a	a
photosphere	photosphere
irradiated	irradiated
her	her
into	into
